rank,word,category,priority,source,emoji
1,tak,social,1,AAC_Super_Core,✅
2,nie,social,1,AAC_Super_Core,❌
3,cześć,social,1,AAC_Super_Core,👋
4,dziękuję,social,1,AAC_Super_Core,🙏
5,proszę,social,1,AAC_Super_Core,🙏
6,przepraszam,social,1,AAC_Super_Core,😔
7,pa,social,1,AAC_Super_Core,👋
8,dobranoc,social,2,AAC_Super_Core,🌙
9,dzień dobry,social,2,AAC_Super_Core,☀️
10,ja,pronoun,1,AAC_Super_Core,👆
11,ty,pronoun,1,AAC_Super_Core,👇
12,to,pronoun,1,AAC_Super_Core,👉
13,on,pronoun,1,AAC_Super_Core,👨
14,ona,pronoun,1,AAC_Super_Core,👩
15,my,pronoun,2,AAC_Super_Core,👥
16,wy,pronoun,2,AAC_Super_Core,👥
17,oni,pronoun,2,AAC_Super_Core,👥
18,one,pronoun,2,AAC_Super_Core,👥
19,moje,pronoun,1,AAC_Super_Core,🙋
20,twoje,pronoun,1,AAC_Super_Core,💁
21,się,pronoun,1,AAC_Super_Core,🔄
22,swoje,pronoun,2,AAC_Super_Core,🏠
23,coś,pronoun,1,AAC_Super_Core,❓
24,ktoś,pronoun,1,AAC_Super_Core,🧑
25,wszyscy,pronoun,2,AAC_Super_Core,👥
26,wszystko,pronoun,2,AAC_Super_Core,💯
27,nic,pronoun,2,AAC_Super_Core,⭕
28,nikt,pronoun,2,AAC_Super_Core,🚫
29,co,question,1,AAC_Super_Core,❓
30,kto,question,1,AAC_Super_Core,🧑❓
31,gdzie,question,1,AAC_Super_Core,📍
32,kiedy,question,1,AAC_Super_Core,⏰
33,dlaczego,question,1,AAC_Super_Core,🤔
34,jak,question,1,AAC_Super_Core,❔
35,który,question,2,AAC_Super_Core,1️⃣
36,czemu,question,2,AAC_Super_Core,🤔
37,chcieć,verb,1,AAC_Super_Core,💭
38,dać,verb,1,AAC_Super_Core,🎁
39,mieć,verb,1,AAC_Super_Core,🤲
40,być,verb,1,AAC_Super_Core,✨
41,iść,verb,1,AAC_Super_Core,🚶
42,lubić,verb,1,AAC_Super_Core,❤️
43,robić,verb,1,AAC_Super_Core,🔧
44,jeść,verb,1,AAC_Super_Core,🍽️
45,pić,verb,1,AAC_Super_Core,🥤
46,spać,verb,1,AAC_Super_Core,😴
47,widzieć,verb,1,AAC_Super_Core,👀
48,słyszeć,verb,1,AAC_Super_Core,👂
49,mówić,verb,1,AAC_Super_Core,🗣️
50,pomóc,verb,1,AAC_Super_Core,🆘
51,czekać,verb,1,AAC_Super_Core,⏳
52,bawić się,verb,1,AAC_Super_Core,🎮
53,myć,verb,1,AAC_Super_Core,🧼
54,otwierać,verb,2,AAC_Super_Core,📂
55,zamykać,verb,2,AAC_Super_Core,📁
56,szukać,verb,2,AAC_Super_Core,🔍
57,znaleźć,verb,2,AAC_Super_Core,🔎
58,przyjść,verb,2,AAC_Super_Core,🚶‍➡️
59,wyjść,verb,2,AAC_Super_Core,🚪
60,brać,verb,2,AAC_Super_Core,✋
61,wziąć,verb,2,AAC_Super_Core,🤚
62,dostać,verb,2,AAC_Super_Core,📥
63,kupić,verb,2,AAC_Super_Core,🛒
64,musieć,verb,1,AAC_Super_Core,⚠️
65,móc,verb,1,AAC_Super_Core,💪
66,umieć,verb,1,AAC_Super_Core,🎓
67,wiedzieć,verb,1,AAC_Super_Core,💡
68,rozumieć,verb,2,AAC_Super_Core,🧠
69,pamiętać,verb,2,AAC_Super_Core,🧠
70,zobaczyć,verb,1,AAC_Super_Core,👁️
71,patrzeć,verb,1,AAC_Super_Core,👀
72,skończyć,verb,1,AAC_Super_Core,🏁
73,zacząć,verb,2,AAC_Super_Core,▶️
74,jechać,verb,2,AAC_Super_Core,🚗
75,stać,verb,2,AAC_Super_Core,🧍
76,siedzieć,verb,2,AAC_Super_Core,🪑
77,leżeć,verb,2,AAC_Super_Core,🛋️
78,pracować,verb,2,AAC_Super_Core,💼
79,uczyć się,verb,2,AAC_Super_Core,📚
80,pisać,verb,2,AAC_Super_Core,✍️
81,czytać,verb,2,AAC_Super_Core,📖
82,rysować,verb,2,AAC_Super_Core,🎨
83,oglądać,verb,2,AAC_Super_Core,📺
84,grać,verb,2,AAC_Super_Core,🎮
85,biegać,verb,2,AAC_Super_Core,🏃
86,skakać,verb,2,AAC_Super_Core,🦘
87,pływać,verb,2,AAC_Super_Core,🏊
88,boleć,verb,1,AAC_Super_Core,🤕
89,bać się,verb,2,AAC_Super_Core,😨
90,cieszyć się,verb,2,AAC_Super_Core,😄
91,jeszcze,adverb,1,AAC_Super_Core,➕
92,już,adverb,1,AAC_Super_Core,✅
93,teraz,time,1,AAC_Super_Core,⏰
94,potem,time,1,AAC_Super_Core,⏭️
95,zaraz,time,2,AAC_Super_Core,⏳
96,wczoraj,time,2,AAC_Super_Core,📆
97,jutro,time,2,AAC_Super_Core,🌅
98,dzisiaj,time,2,AAC_Super_Core,📅
99,zawsze,time,2,AAC_Super_Core,♾️
100,nigdy,time,2,AAC_Super_Core,🚫
101,czasami,time,2,AAC_Super_Core,⏱️
102,długo,time,2,AAC_Super_Core,📏
103,krótko,time,2,AAC_Super_Core,📐
104,tu,place,1,AAC_Super_Core,📍
105,tam,place,1,AAC_Super_Core,📍
106,blisko,place,2,AAC_Super_Core,📍
107,daleko,place,2,AAC_Super_Core,🗺️
108,góra,place,2,AAC_Super_Core,⛰️
109,dół,place,2,AAC_Super_Core,⬇️
110,środek,place,2,AAC_Super_Core,🎯
111,dobrze,adverb,1,AAC_Super_Core,👍
112,źle,adverb,1,AAC_Super_Core,👎
113,dużo,quantity,1,AAC_Super_Core,📊
114,mało,quantity,1,AAC_Super_Core,📉
115,więcej,quantity,1,AAC_Super_Core,⬆️
116,mniej,quantity,2,AAC_Super_Core,⬇️
117,szybko,adverb,2,AAC_Super_Core,⚡
118,wolno,adverb,2,AAC_Super_Core,🐢
119,głośno,adverb,2,AAC_Super_Core,🔊
120,cicho,adverb,2,AAC_Super_Core,🔇
121,fajnie,adverb,1,AAC_Super_Core,😎
122,ładnie,adverb,2,AAC_Super_Core,✨
123,dobry,adjective,1,AAC_Super_Core,👍
124,zły,adjective,1,AAC_Super_Core,👿
125,duży,adjective,1,AAC_Super_Core,🐘
