syllable,weight,is_word,word_rank,full_word,emoji,pos,has_children
zabawa,409,True,92,zabawa,🎉,noun,False
zamykać,394,True,107,zamykać,📁,verb,False
zacząć,383,True,118,zacząć,▶️,verb,False
zaraz,366,True,135,zaraz,⏳,adverb,False
zawsze,362,True,139,zawsze,♾️,adverb,False
zanieść,248,True,253,zanieść,📦,verb,False
zapomnieć,220,True,281,zapomnieć,🧠❌,verb,False
zamknięty,190,True,311,zamknięty,📁,adjective,False
zajęty,184,True,317,zajęty,📅,adjective,False
zamiatać,14,True,487,zamiatać,🧹,verb,False
zapinać,7,True,494,zapinać,🔘,verb,False
zając,-63,True,564,zając,🐰,noun,False
zamrażarka,-208,True,709,zamrażarka,🧊,noun,False
zamek,-226,True,727,zamek,🔒,noun,False
zasłona,-286,True,787,zasłona,🪟,noun,False
zatoka,-336,True,837,zatoka,🚌,noun,False
zagranica,-435,True,936,zagranica,🌍,noun,False
